"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.275996480E-1,3.023782931E-2,1.863138936E-2,2.657263726E-2,4.435718704E-2
6.360156480E-1,2.809980139E-2,1.985312067E-2,2.138028294E-2,4.050755161E-2
6.368806480E-1,2.809980139E-2,1.985312067E-2,2.138028294E-2,4.050755161E-2
6.453896480E-1,2.474004216E-2,1.954768784E-2,2.260201424E-2,3.879475266E-2
6.462716480E-1,2.474004216E-2,1.954768784E-2,2.260201424E-2,3.879475266E-2
6.547126480E-1,1.588249579E-2,3.207042441E-2,1.557706390E-2,3.903089435E-2
6.555786480E-1,1.588249579E-2,3.207042441E-2,1.557706390E-2,3.903089435E-2
6.640086480E-1,1.282817032E-2,3.940080851E-2,9.468411095E-3,4.250454651E-2
6.649136480E-1,1.282817032E-2,3.940080851E-2,9.468411095E-3,4.250454651E-2
6.733416480E-1,1.099557430E-2,4.092797264E-2,9.468411095E-3,4.342409939E-2
6.742136480E-1,1.099557430E-2,4.092797264E-2,9.468411095E-3,4.342409939E-2
6.826526480E-1,1.618792862E-2,5.925392732E-2,1.679879427E-2,6.368105232E-2
6.835356480E-1,1.618792862E-2,5.925392732E-2,1.679879427E-2,6.368105232E-2
6.919676480E-1,2.443460934E-2,7.574728876E-2,2.535090782E-2,8.353065554E-2
6.928396480E-1,2.443460934E-2,7.574728876E-2,2.535090782E-2,8.353065554E-2
7.012886480E-1,2.382374369E-2,7.971791178E-2,2.504547499E-2,8.688953930E-2
7.021696480E-1,2.382374369E-2,7.971791178E-2,2.504547499E-2,8.688953930E-2
7.105956480E-1,2.840523422E-2,7.177666575E-2,3.054326214E-2,8.301588968E-2
7.114976480E-1,2.840523422E-2,7.177666575E-2,3.054326214E-2,8.301588968E-2
7.199886480E-1,3.543018550E-2,5.894849449E-2,3.543018550E-2,7.736614952E-2
7.208506480E-1,3.543018550E-2,5.894849449E-2,3.543018550E-2,7.736614952E-2
7.292676480E-1,4.031710699E-2,4.214970022E-2,3.726277873E-2,6.921402332E-2
7.301416480E-1,4.031710699E-2,4.214970022E-2,3.726277873E-2,6.921402332E-2
7.385806480E-1,3.207042441E-2,1.802052557E-2,2.565634064E-2,4.484974112E-2
7.394896480E-1,3.207042441E-2,1.802052557E-2,2.565634064E-2,4.484974112E-2
7.478946480E-1,2.474004216E-2,-3.054326167E-3,7.330383174E-3,2.598332373E-2
7.487596480E-1,2.474004216E-2,-3.054326167E-3,7.330383174E-3,2.598332373E-2
7.572076480E-1,2.015855350E-2,-1.679879427E-2,-9.162978269E-3,2.779436883E-2
7.580796480E-1,2.015855350E-2,-1.679879427E-2,-9.162978269E-3,2.779436883E-2
7.665326480E-1,1.618792862E-2,-1.618792862E-2,-1.160643995E-2,2.566724594E-2
7.673846480E-1,1.618792862E-2,-1.618792862E-2,-1.160643995E-2,2.566724594E-2
7.758636480E-1,1.038470957E-2,3.054326167E-3,-7.330383174E-3,1.307308758E-2
7.767276480E-1,1.038470957E-2,3.054326167E-3,-7.330383174E-3,1.307308758E-2
7.851856480E-1,8.857546374E-3,3.634648025E-2,3.665191587E-3,3.758931209E-2
7.860446480E-1,8.857546374E-3,3.634648025E-2,3.665191587E-3,3.758931209E-2
7.945026480E-1,1.557706390E-2,6.078109145E-2,2.626720630E-2,6.802170333E-2
7.953416480E-1,1.557706390E-2,6.078109145E-2,2.626720630E-2,6.802170333E-2
8.038036480E-1,1.435533352E-2,7.452555746E-2,3.207042441E-2,8.239324266E-2
8.047036480E-1,1.435533352E-2,7.452555746E-2,3.207042441E-2,8.239324266E-2
8.131226480E-1,1.740965992E-2,6.719517708E-2,2.993239649E-2,7.559256869E-2
8.139766480E-1,1.740965992E-2,6.719517708E-2,2.993239649E-2,7.559256869E-2
8.224536480E-1,3.298672289E-2,5.161811411E-2,3.573561832E-2,7.091958833E-2
8.233106480E-1,3.298672289E-2,5.161811411E-2,3.573561832E-2,7.091958833E-2
8.319626480E-1,4.306599870E-2,4.001167417E-2,3.634648025E-2,6.911353659E-2
8.330106480E-1,4.306599870E-2,4.001167417E-2,3.634648025E-2,6.911353659E-2
8.410946480E-1,4.642575979E-2,2.993239649E-2,2.687807009E-2,6.143069415E-2
8.419516480E-1,4.642575979E-2,2.993239649E-2,2.687807009E-2,6.143069415E-2
8.504346480E-1,3.665191308E-2,2.748893574E-2,2.199114859E-2,5.081943463E-2
8.513196480E-1,3.665191308E-2,2.748893574E-2,2.199114859E-2,5.081943463E-2
8.597866480E-1,2.474004216E-2,2.687807009E-2,2.290744707E-2,4.311903836E-2
8.606486480E-1,2.474004216E-2,2.687807009E-2,2.290744707E-2,4.311903836E-2
8.690636480E-1,1.374446787E-2,2.657263726E-2,1.588249579E-2,3.387136136E-2
8.699626480E-1,1.374446787E-2,2.657263726E-2,1.588249579E-2,3.387136136E-2
8.784056480E-1,1.557706390E-2,3.115412779E-2,2.107485011E-2,4.071085734E-2
8.792776480E-1,1.557706390E-2,3.115412779E-2,2.107485011E-2,4.071085734E-2
8.877156480E-1,2.076941915E-2,2.199114859E-2,1.007927675E-2,3.188371383E-2
8.885596480E-1,2.076941915E-2,2.199114859E-2,1.007927675E-2,3.188371383E-2
8.970116480E-1,2.718350291E-2,-3.054326226E-4,3.054326167E-3,2.735626122E-2
8.979106480E-1,2.718350291E-2,-3.054326226E-4,3.054326167E-3,2.735626122E-2
9.063566480E-1,3.115412779E-2,-1.527163107E-2,5.803219974E-3,3.517783046E-2
9.072446480E-1,3.115412779E-2,-1.527163107E-2,5.803219974E-3,3.517783046E-2
9.156876480E-1,3.665191308E-2,-1.313360315E-2,9.162978269E-3,3.999768037E-2
9.165506480E-1,3.665191308E-2,-1.313360315E-2,9.162978269E-3,3.999768037E-2
9.250426480E-1,3.268129006E-2,-1.832595794E-3,2.076941915E-2,3.876588576E-2
9.259216480E-1,3.268129006E-2,-1.832595794E-3,2.076941915E-2,3.876588576E-2
9.342996480E-1,2.962696366E-2,6.414085161E-3,2.748893574E-2,4.092113210E-2
9.351796480E-1,2.962696366E-2,6.414085161E-3,2.748893574E-2,4.092113210E-2
9.436256480E-1,2.657263726E-2,1.863138936E-2,2.871066704E-2,4.333054492E-2
9.445006480E-1,2.657263726E-2,1.863138936E-2,2.871066704E-2,4.333054492E-2
9.529256480E-1,2.382374369E-2,3.023782931E-2,1.893682219E-2,4.290105266E-2
9.537846480E-1,2.382374369E-2,3.023782931E-2,1.893682219E-2,4.290105266E-2
9.622466480E-1,1.863138936E-2,3.665191308E-2,1.740965992E-2,4.464960986E-2
9.630866480E-1,1.863138936E-2,3.665191308E-2,1.740965992E-2,4.464960986E-2
9.715666480E-1,1.527163107E-2,4.092797264E-2,2.138028294E-2,4.863577036E-2
9.724286480E-1,1.527163107E-2,4.092797264E-2,2.138028294E-2,4.863577036E-2
9.808896480E-1,2.199114859E-2,4.703662544E-2,2.321287990E-2,5.687611575E-2
9.817326480E-1,2.199114859E-2,4.703662544E-2,2.321287990E-2,5.687611575E-2
9.902606480E-1,3.329215571E-2,5.589416996E-2,2.687807009E-2,7.039145203E-2
9.911406480E-1,3.329215571E-2,5.589416996E-2,2.687807009E-2,7.039145203E-2
9.996306480E-1,3.665191308E-2,3.970624134E-2,2.321287990E-2,5.881144554E-2
1.000529648E0,3.665191308E-2,3.970624134E-2,2.321287990E-2,5.881144554E-2
1.008871648E0,3.756821156E-2,2.015855350E-2,1.221730467E-2,4.435087746E-2
1.009768648E0,3.756821156E-2,2.015855350E-2,1.221730467E-2,4.435087746E-2
1.018191648E0,3.726277873E-2,1.527163107E-2,-1.527163084E-3,4.029974716E-2
1.019053648E0,3.726277873E-2,1.527163107E-2,-1.527163084E-3,4.029974716E-2
1.027540648E0,3.848451003E-2,4.459316283E-2,-1.527163084E-3,5.892316956E-2
1.028388648E0,3.848451003E-2,4.459316283E-2,-1.527163084E-3,5.892316956E-2
1.036837648E0,3.909537569E-2,8.643743396E-2,1.496619824E-2,9.604095730E-2
1.037687648E0,3.909537569E-2,8.643743396E-2,1.496619824E-2,9.604095730E-2
1.046161648E0,2.871066704E-2,1.310305893E-1,4.612032697E-2,1.418464039E-1
1.047045648E0,2.871066704E-2,1.310305893E-1,4.612032697E-2,1.418464039E-1
1.055490648E0,3.970623948E-3,1.624901593E-1,7.055493444E-2,1.771914684E-1
1.056362648E0,3.970623948E-3,1.624901593E-1,7.055493444E-2,1.771914684E-1
1.064997648E0,-2.840523422E-2,1.713477075E-1,9.621127695E-2,1.985535293E-1
1.065899648E0,-2.840523422E-2,1.713477075E-1,9.621127695E-2,1.985535293E-1
1.074118648E0,-4.764748737E-2,1.557706445E-1,1.227839142E-1,2.039869269E-1
1.074999648E0,-4.764748737E-2,1.557706445E-1,1.227839142E-1,2.039869269E-1
1.083442648E0,-6.475171447E-2,1.157589629E-1,1.350012124E-1,1.892570986E-1
